id,category,question
ID.AM-5,Asset Management,"Provide evidence that assets are prioritized by classification, criticality, and business value (asset criticality rating)."
ID.AM-7,Asset Management,"Submit your data inventory showing data types, locations, and classification across the lifecycle. Include Snowflake data catalog if applicable."
ID.RA-1,Risk Assessment,"Provide your latest vulnerability assessment results showing identified vulnerabilities. Pull from EDR (CrowdStrike Spotlight) and SAST (Semgrep)."
ID.RA-2,Risk Assessment,"Demonstrate that cyber threat intelligence is received from information-sharing sources (feed config or sample threat intel report)."
ID.RA-5,Risk Assessment,"Submit your risk register showing likelihood, impact, and prioritization used to determine risk response."
ID.RA-6,Risk Assessment,"Provide evidence that risk responses are chosen, prioritized, and tracked (risk treatment plan with owners and target dates)."
ID.IM-1,Improvement,"Demonstrate that improvements are identified from evaluations (audit findings or assessment results tracked to remediation actions)."
ID.IM-2,Improvement,"Provide evidence improvements are identified from security tests and exercises (penetration test or tabletop findings with remediation tracking)."
PR.AA-1,Identity Management and Access Control,"Provide evidence that identities and credentials are managed throughout their lifecycle (joiner/mover/leaver report from Okta)."
PR.AA-3,Identity Management and Access Control,"Provide evidence of MFA enforcement for remote access and privileged accounts (MFA enrollment report from Okta and AWS IAM)."
PR.AA-5,Identity Management and Access Control,"Submit evidence of least-privilege and separation-of-duties enforcement (role definitions and a recent access review with remediation)."
PR.AT-1,Awareness and Training,"Provide security awareness training completion records for general staff for the current cycle."
PR.AT-2,Awareness and Training,"Submit evidence of role-based specialized training for privileged users and developers (training records)."
PR.DS-1,Data Security,"Provide evidence that data at rest is protected (encryption-at-rest configuration for S3, RDS, and Snowflake)."
PR.DS-2,Data Security,"Demonstrate that data in transit is protected (TLS configuration scan of public endpoints, Cloudflare TLS settings, minimum TLS version enforcement)."
PR.DS-11,Data Security,"Submit your backup configuration and evidence of a recent successful backup and restore test."
PR.PS-1,Platform Security,"Provide your configuration/hardening baseline for a key platform and evidence of enforcement (Kandji blueprint config or CIS-benchmark scan results)."
PR.PS-2,Platform Security,"Demonstrate software is maintained and patched. Pull patch-compliance reports from Kandji (workstations) and provide server patching process evidence."
PR.PS-4,Platform Security,"Provide evidence that logs are generated and available for monitoring (CloudTrail config, Okta syslog, GitHub audit log configuration and retention settings)."
PR.PS-6,Platform Security,"Provide evidence of a secure software development lifecycle (SDLC standard, Semgrep SAST in CI/CD pipeline, branch protections in GitHub, env0 deployment approvals)."
PR.IR-1,Technology Infrastructure Resilience,"Demonstrate networks are protected from unauthorized access (Cloudflare WAF/DDoS config, AWS security groups, firewall rules and segmentation diagram)."
PR.IR-3,Technology Infrastructure Resilience,"Provide evidence of resilience mechanisms to meet availability objectives (HA architecture, multi-AZ configuration, or failover test results)."
PR.IR-4,Technology Infrastructure Resilience,"Submit evidence that adequate resource capacity is maintained (cloud capacity monitoring dashboards with thresholds)."
DE.CM-1,Continuous Monitoring,"Provide evidence that networks and network services are monitored (Cloudflare analytics/alerts, AWS GuardDuty findings, network monitoring dashboard)."
DE.CM-3,Continuous Monitoring,"Provide evidence of personnel activity and technology usage monitoring (Okta anomaly detection reports, CrowdStrike behavioral alerts)."
DE.CM-9,Continuous Monitoring,"Provide evidence that endpoints and services are monitored for adverse events (CrowdStrike EDR coverage report and recent detections)."
DE.AE-2,Adverse Event Analysis,"Demonstrate that potentially adverse events are analyzed (sample security investigation with analyst notes showing triage to resolution)."
DE.AE-3,Adverse Event Analysis,"Provide evidence that event data is correlated from multiple sources (SIEM correlation rules or multi-source alert example)."
RS.MA-1,Incident Management,"Provide your incident response plan and evidence it is executed when an incident is declared (sample declared-incident record)."
RS.MA-3,Incident Management,"Submit evidence that incidents are categorized and prioritized (incident severity matrix applied to a real or tabletop ticket)."
RS.AN-3,Incident Analysis,"Provide evidence that root-cause analysis is performed for incidents (RCA document for a recent incident or tabletop exercise)."
RS.CO-2,Incident Response Reporting and Communication,"Provide evidence that internal and external stakeholders are notified of incidents per plan (notification log or sample communications)."
RS.MI-1,Incident Mitigation,"Provide evidence that incidents are contained and eradicated (containment and remediation steps documented in an incident record)."
RC.RP-1,Incident Recovery Plan Execution,"Provide your recovery plan and evidence it was executed during an incident or test (recovery runbook plus execution record or DR test report)."
RC.RP-3,Incident Recovery Plan Execution,"Provide evidence that the integrity of backups and restored assets is verified before use (restore-validation record)."
RC.CO-3,Incident Recovery Communication,"Provide evidence that recovery activities are communicated to internal and external stakeholders (recovery status updates or communications log)."
