id,category,question
7.2,Physical Entry Controls,"Submit a sample physical access log and the entry-control configuration (badge reader settings or access-list export). For cloud, refer to CSP SOC 2 physical controls."
7.7,Clear Desk and Clear Screen,"Demonstrate your clear desk/clear screen policy and evidence of enforcement (e.g. screen-lock MDM config or compliance report from Kandji)."
7.14,Secure Disposal of Equipment,"Submit certificates of destruction or secure-wipe records for recently decommissioned equipment containing data. Include MDM wipe-confirmation records."
8.1,User Endpoint Devices,"Provide endpoint configuration evidence (MDM policy export from Kandji) showing encryption, screen-lock, patch enforcement, and EDR deployment on managed devices."
8.2,Privileged Access Rights,"Submit a list of privileged accounts and evidence of their review, including how privileged access is approved and time-bound. Pull from identity provider and AWS IAM."
8.4,Access to Source Code,"Demonstrate access controls on source code repositories. Provide a repo access-permissions export and branch-protection configuration from GitHub."
8.5,Secure Authentication,"Provide evidence of MFA enforcement. Pull an MFA-coverage report from your identity provider showing enrolment for privileged and remote users."
8.7,Protection Against Malware,"Provide your anti-malware coverage report from your EDR console (CrowdStrike) showing deployment percentage, prevention-policy configuration, and recent detection/response actions."
8.8,Technical Vulnerability Management,"Submit your latest vulnerability scan results from your EDR/vulnerability tool (CrowdStrike Spotlight or equivalent) and evidence of remediation SLAs being met (ticket export with close dates)."
8.9,Configuration Management,"Provide your secure baseline/hardening standard for a key platform and evidence of enforcement (e.g. CIS-benchmark scan results, Kandji blueprint config)."
8.12,Data Leakage Prevention,"Submit your DLP policy configuration and a sample DLP alert report showing rules in effect."
8.13,Information Backup,"Provide your backup policy and evidence of a recent successful backup and restore test (backup job logs and restore-test report)."
8.15,Logging,"Provide your logging standard and a sample log export showing security-relevant events are captured for a key system (CloudTrail, Okta syslog, GitHub audit log)."
8.16,Monitoring Activities,"Submit evidence of security monitoring (SIEM dashboard screenshots, alert rules, and a sample investigated alert from CrowdStrike or equivalent)."
8.20,Network Security,"Submit network security control evidence including firewall and WAF configuration (Cloudflare WAF rules, AWS security groups) and network segmentation diagram."
8.22,Segregation of Networks,"Demonstrate network segregation. Provide VLAN/subnet design, Cloudflare zone configuration, and firewall rules enforcing separation between production and non-production."
8.23,Web Filtering,"Provide your web filtering/proxy configuration showing blocked categories (Cloudflare Gateway or equivalent) and a sample blocked-access report."
8.24,Cryptography,"Submit your cryptography policy and enforcement evidence (TLS configuration scan of public endpoints, encryption-at-rest settings for S3/RDS, certificate inventory from ACM)."
8.25,Secure Development Lifecycle,"Provide your secure SDLC standard and evidence of security gates in the pipeline (Semgrep SAST integration config and a sample scan result)."
8.28,Secure Coding,"Provide your secure coding standard and evidence of SAST integration in CI/CD (Semgrep pipeline config and a sample finding with remediation)."
8.29,Security Testing,"Submit results from security testing in development and acceptance (SAST reports from Semgrep, DAST results, or the latest penetration test report)."
8.31,Separation of Environments,"Demonstrate separation of development, test, and production environments (env0 environment inventory showing prod/staging separation, and access controls per environment)."
8.32,Change Management,"Provide your change management procedure and a sample change record showing request, approval, testing, and deployment (GitHub PR with review approvals and env0 deployment run)."
